epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
59,1027.14,0.28141,0.34387,0.28589,0.91666,0,0.99123,0.99564,0.99441,0.96403,0.9889,0.99261,0.99396,0.93939,0.28018,0.2236,0.28365,0.92074,0,0.000709809,0.000709809,0.000709809
60,1045.11,0.28094,0.32385,0.29407,0.91963,0,0.98768,0.99607,0.9945,0.96697,0.98638,0.99476,0.99431,0.94156,0.2942,0.22889,0.30667,0.92141,0,0.000693305,0.000693305,0.000693305
61,1062.62,0.26695,0.34307,0.27587,0.91411,0,0.98889,0.99476,0.99429,0.96779,0.98827,0.99346,0.9942,0.93744,0.26857,0.23295,0.26413,0.91023,0,0.000676802,0.000676802,0.000676802
62,1079.88,0.27358,0.32389,0.27693,0.92409,0,0.99256,0.99239,0.99426,0.97488,0.99256,0.99239,0.99426,0.94192,0.25034,0.21359,0.25683,0.91113,0,0.000660299,0.000660299,0.000660299
63,1097.78,0.25807,0.31271,0.27075,0.91684,0,0.99358,0.99562,0.99429,0.98387,0.99241,0.99413,0.99403,0.93471,0.2381,0.21789,0.24295,0.88006,0,0.000643795,0.000643795,0.000643795
64,1115.39,0.2713,0.35624,0.27345,0.91362,0,0.99308,0.99476,0.99434,0.98068,0.99176,0.99346,0.99419,0.94102,0.24893,0.22473,0.23949,0.88909,0,0.000627292,0.000627292,0.000627292
65,1134.11,0.25942,0.32402,0.27641,0.91961,0,0.98767,0.99476,0.99384,0.98208,0.98637,0.99346,0.9937,0.94323,0.2381,0.22272,0.25114,0.87363,0,0.000610789,0.000610789,0.000610789
66,1151.86,0.26028,0.32942,0.26747,0.91251,0,0.99048,0.99215,0.99459,0.98521,0.98968,0.99084,0.99448,0.94306,0.23792,0.21785,0.23408,0.87108,0,0.000594286,0.000594286,0.000594286
67,1168.93,0.26517,0.32245,0.2843,0.91991,0,0.99024,0.99476,0.99458,0.98427,0.99031,0.99476,0.99438,0.93893,0.24762,0.23604,0.25038,0.89304,0,0.000577782,0.000577782,0.000577782
68,1185.86,0.28137,0.32635,0.29446,0.92693,0,0.97692,0.99368,0.99362,0.97998,0.97604,0.99215,0.99356,0.94078,0.2557,0.22195,0.25005,0.89427,0,0.000561279,0.000561279,0.000561279
69,1202.64,0.25086,0.31038,0.26408,0.91984,0,0.98479,0.9949,0.99194,0.97371,0.98479,0.9949,0.99194,0.93887,0.2465,0.20988,0.24448,0.88237,0,0.000544776,0.000544776,0.000544776
70,1219.63,0.2581,0.31288,0.27429,0.91147,0,0.98853,0.99447,0.99427,0.97959,0.98853,0.99447,0.99427,0.9409,0.25106,0.21847,0.25362,0.88955,0,0.000528272,0.000528272,0.000528272
71,1236.18,0.26492,0.34254,0.28637,0.90125,0,0.99573,0.98953,0.99491,0.98269,0.99573,0.98953,0.9947,0.94247,0.23959,0.21244,0.26168,0.88912,0,0.000511769,0.000511769,0.000511769
72,1253.23,0.26797,0.32221,0.27479,0.92426,0,0.99346,0.99476,0.99493,0.98521,0.99352,0.99215,0.99487,0.94608,0.23527,0.20213,0.23849,0.86399,0,0.000495266,0.000495266,0.000495266
73,1271.56,0.25517,0.31036,0.26648,0.89858,0,0.99147,0.99476,0.99393,0.98486,0.99147,0.99476,0.99393,0.94411,0.23822,0.20849,0.23979,0.87027,0,0.000478762,0.000478762,0.000478762
74,1288.81,0.24971,0.30117,0.24779,0.91329,0,0.98924,0.9959,0.99427,0.9842,0.98794,0.99459,0.99418,0.94514,0.23246,0.2004,0.23412,0.86246,0,0.000462259,0.000462259,0.000462259
75,1305.75,0.24163,0.32055,0.25113,0.89863,0,0.99401,0.99607,0.99497,0.98374,0.99166,0.99346,0.99491,0.94913,0.22967,0.20075,0.23006,0.86882,0,0.000445756,0.000445756,0.000445756
76,1322.69,0.24729,0.30312,0.25365,0.90882,0,0.99412,0.99476,0.99482,0.98019,0.9928,0.99346,0.99465,0.94402,0.23707,0.20595,0.22924,0.86754,0,0.000429253,0.000429253,0.000429253
77,1339.63,0.25341,0.32761,0.26398,0.91851,0,0.99416,0.9945,0.995,0.98731,0.99283,0.99319,0.99491,0.94769,0.21246,0.1961,0.21866,0.85539,0,0.000412749,0.000412749,0.000412749
78,1357.18,0.24728,0.2913,0.24736,0.90514,0,0.99484,0.99584,0.99497,0.98516,0.99366,0.99444,0.99495,0.94327,0.21757,0.19815,0.21376,0.8693,0,0.000396246,0.000396246,0.000396246
79,1374.2,0.25262,0.36244,0.26938,0.92232,0,0.99441,0.99607,0.99483,0.9847,0.99347,0.99476,0.9947,0.94441,0.22921,0.19306,0.2193,0.87563,0,0.000379743,0.000379743,0.000379743
80,1391.79,0.22719,0.29109,0.24237,0.90992,0,0.99532,0.9958,0.99499,0.97258,0.994,0.9945,0.99478,0.94193,0.22121,0.20146,0.21478,0.87128,0,0.000363239,0.000363239,0.000363239
81,1409.43,0.23407,0.32146,0.24207,0.90126,0,0.9932,0.99607,0.99491,0.98807,0.9919,0.99476,0.99474,0.94566,0.21022,0.202,0.21639,0.85891,0,0.000346736,0.000346736,0.000346736
82,1426.7,0.24402,0.31293,0.24463,0.91235,0,0.99741,0.99607,0.995,0.98789,0.99654,0.99447,0.99475,0.94517,0.20396,0.20567,0.20911,0.85144,0,0.000330233,0.000330233,0.000330233
83,1443.37,0.24235,0.30063,0.2422,0.91035,0,0.9958,0.99607,0.99499,0.98936,0.99478,0.99476,0.99483,0.94801,0.20218,0.19712,0.20927,0.84346,0,0.000313729,0.000313729,0.000313729
84,1460.7,0.24143,0.33302,0.25114,0.89833,0,0.99615,0.99607,0.99499,0.98935,0.99649,0.99476,0.99483,0.94543,0.19784,0.20224,0.20482,0.84183,0,0.000297226,0.000297226,0.000297226
85,1478.22,0.22672,0.30218,0.22657,0.8972,0,0.99677,0.99429,0.99499,0.98946,0.99619,0.99346,0.99486,0.94826,0.18754,0.1918,0.19914,0.83558,0,0.000280723,0.000280723,0.000280723
86,1495.91,0.23078,0.28629,0.24737,0.90775,0,0.99657,0.99604,0.99493,0.98951,0.99568,0.99476,0.99486,0.94576,0.20054,0.19453,0.19611,0.83898,0,0.00026422,0.00026422,0.00026422
87,1513.21,0.23111,0.33159,0.23662,0.90632,0,0.99525,0.99563,0.99497,0.98826,0.99599,0.99458,0.99492,0.94677,0.21178,0.19394,0.20809,0.84568,0,0.000247716,0.000247716,0.000247716
88,1531.49,0.22039,0.29495,0.22906,0.90123,0,0.99614,0.99564,0.99497,0.9892,0.99618,0.99476,0.99492,0.94882,0.19376,0.19265,0.19935,0.83455,0,0.000231213,0.000231213,0.000231213
89,1549.24,0.23431,0.30082,0.23775,0.91473,0,0.99628,0.99513,0.99499,0.98846,0.99691,0.99423,0.99496,0.94776,0.19239,0.19742,0.18962,0.83417,0,0.00021471,0.00021471,0.00021471
90,1566.09,0.22231,0.28004,0.21541,0.89579,0,0.99605,0.9956,0.99496,0.98939,0.99512,0.99395,0.99492,0.94867,0.18158,0.19445,0.1848,0.82447,0,0.000198206,0.000198206,0.000198206
91,1586.62,0.19303,0.25696,0.2517,0.91514,0,0.99412,0.99596,0.99486,0.9883,0.99336,0.99406,0.99478,0.94477,0.20207,0.19951,0.19917,0.83075,0,0.000181703,0.000181703,0.000181703
92,1603.26,0.17449,0.22622,0.21329,0.89703,0,0.99524,0.99607,0.99496,0.98916,0.99444,0.99476,0.99491,0.94418,0.19236,0.19329,0.19374,0.82713,0,0.0001652,0.0001652,0.0001652
93,1619.48,0.16679,0.22404,0.192,0.90007,0,0.99614,0.99607,0.99491,0.99153,0.99482,0.99476,0.99483,0.94874,0.17377,0.18889,0.17627,0.81514,0,0.000148696,0.000148696,0.000148696
94,1637.28,0.16657,0.22829,0.18097,0.8921,0,0.99443,0.99607,0.99466,0.99021,0.99324,0.99476,0.99459,0.94883,0.17962,0.18853,0.18773,0.81871,0,0.000132193,0.000132193,0.000132193
95,1653.54,0.15369,0.21189,0.17311,0.87244,0,0.99674,0.99607,0.99449,0.98957,0.99543,0.99476,0.99442,0.94902,0.17302,0.18516,0.18612,0.81883,0,0.00011569,0.00011569,0.00011569
96,1669.87,0.15542,0.20875,0.17558,0.88405,0,0.99686,0.99607,0.99487,0.99182,0.99555,0.99476,0.9948,0.94975,0.16806,0.18448,0.18024,0.81272,0,9.91865e-05,9.91865e-05,9.91865e-05
97,1686.65,0.15396,0.2036,0.17417,0.89564,0,0.99683,0.99607,0.99495,0.99132,0.99555,0.99476,0.99488,0.95209,0.16677,0.18404,0.17829,0.81143,0,8.26832e-05,8.26832e-05,8.26832e-05
98,1702.83,0.15155,0.20827,0.16555,0.88279,0,0.99576,0.99607,0.99499,0.9919,0.99473,0.99476,0.99496,0.95212,0.16208,0.18385,0.17158,0.80624,0,6.61799e-05,6.61799e-05,6.61799e-05
99,1720.07,0.14896,0.21039,0.16366,0.88257,0,0.99531,0.99615,0.99499,0.99214,0.99452,0.9948,0.99497,0.9518,0.15601,0.18224,0.16216,0.80184,0,4.96766e-05,4.96766e-05,4.96766e-05
100,1736.1,0.14032,0.19478,0.15941,0.87957,0,0.9955,0.99615,0.99499,0.99181,0.99468,0.99481,0.99497,0.95184,0.15184,0.18182,0.15945,0.79922,0,3.31733e-05,3.31733e-05,3.31733e-05
